node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
CD247	IL2	9606.ENSP00000354782	9606.ENSP00000226730	0	0	0	0	0.049	0	0	0.817	0.818
CD247	HLA-DOA	9606.ENSP00000354782	9606.ENSP00000229829	0	0	0	0	0.102	0	0.900	0.121	0.914
CD247	KLRK1	9606.ENSP00000354782	9606.ENSP00000240618	0	0	0	0	0.296	0	0	0.865	0.901
CD247	TYROBP	9606.ENSP00000354782	9606.ENSP00000262629	0	0	0	0	0.172	0	0	0.902	0.916
CD247	PRKCQ	9606.ENSP00000354782	9606.ENSP00000263125	0	0	0	0	0.256	0	0.400	0.438	0.727
CD247	ZAP70	9606.ENSP00000354782	9606.ENSP00000264972	0	0	0	0	0.800	0.992	0.900	0.998	0.999
CD247	FCER1G	9606.ENSP00000354782	9606.ENSP00000289902	0	0	0	0.830	0.103	0.095	0.900	0.886	0.989
CD247	LILRA4	9606.ENSP00000354782	9606.ENSP00000291759	0	0	0	0	0.099	0	0.900	0.100	0.911
CD247	TRAT1	9606.ENSP00000354782	9606.ENSP00000295756	0	0	0	0	0.436	0.292	0.900	0.733	0.987
CD247	CD3D	9606.ENSP00000354782	9606.ENSP00000300692	0	0	0	0	0.823	0.900	0.900	0.998	0.999
CD247	CD7	9606.ENSP00000354782	9606.ENSP00000312027	0	0	0	0	0.685	0	0	0.414	0.807
CD247	CD6	9606.ENSP00000354782	9606.ENSP00000323280	0	0	0	0	0.782	0	0	0.452	0.875
CD247	PDCD1	9606.ENSP00000354782	9606.ENSP00000335062	0	0	0	0	0.122	0	0.500	0.731	0.871
CD247	SKAP1	9606.ENSP00000354782	9606.ENSP00000338171	0	0	0	0	0.353	0	0.360	0.507	0.778
CD247	NCR3	9606.ENSP00000354782	9606.ENSP00000342156	0	0	0	0	0.221	0.292	0.900	0.990	0.999
CD247	FYN	9606.ENSP00000354782	9606.ENSP00000346671	0	0	0	0	0.227	0.553	0.900	0.822	0.993
CD247	PTPN22	9606.ENSP00000354782	9606.ENSP00000352833	0	0	0	0	0.262	0.292	0.500	0.379	0.816
CD247	CD3E	9606.ENSP00000354782	9606.ENSP00000354566	0	0	0	0	0.766	0.958	0.900	0.991	0.999
CD247	CTLA4	9606.ENSP00000354782	9606.ENSP00000497102	0	0	0	0	0.260	0	0	0.622	0.708
CD247	HLA-E	9606.ENSP00000354782	9606.ENSP00000365817	0	0	0	0	0.087	0	0.500	0.432	0.718
CD247	PDCD1LG2	9606.ENSP00000354782	9606.ENSP00000380855	0	0	0	0	0	0	0.500	0.505	0.741
CD247	HLA-DQB1	9606.ENSP00000354782	9606.ENSP00000364080	0	0	0	0	0.138	0	0.500	0.483	0.757
CD247	SH2D1A	9606.ENSP00000354782	9606.ENSP00000360181	0	0	0	0	0.642	0.292	0	0.426	0.842
CD247	SRC	9606.ENSP00000354782	9606.ENSP00000362680	0	0	0	0	0.087	0.148	0.400	0.743	0.863
CD247	FCGR1A	9606.ENSP00000354782	9606.ENSP00000358165	0	0	0	0	0.087	0	0.800	0.357	0.872
CD247	CD274	9606.ENSP00000354782	9606.ENSP00000370989	0	0	0	0	0	0	0.500	0.760	0.874
CD247	LAT	9606.ENSP00000354782	9606.ENSP00000378845	0	0	0	0	0.300	0.292	0.500	0.694	0.914
CD247	HLA-DMB	9606.ENSP00000354782	9606.ENSP00000398890	0	0	0	0	0.112	0	0.900	0.168	0.919
CD247	HLA-DOB	9606.ENSP00000354782	9606.ENSP00000496848	0	0	0	0	0.164	0	0.900	0.148	0.922
CD247	HLA-DMA	9606.ENSP00000354782	9606.ENSP00000363976	0	0	0	0	0.141	0	0.900	0.167	0.922
CD247	HLA-DPB1	9606.ENSP00000354782	9606.ENSP00000408146	0	0	0	0	0.151	0	0.900	0.184	0.924
CD247	HLA-DQA2	9606.ENSP00000354782	9606.ENSP00000364076	0	0	0	0	0.080	0	0.900	0.351	0.935
CD247	HLA-DRB5	9606.ENSP00000354782	9606.ENSP00000364114	0	0	0	0	0.115	0	0.900	0.434	0.945
CD247	HLA-DPA1	9606.ENSP00000354782	9606.ENSP00000393566	0	0	0	0	0.148	0	0.900	0.428	0.947
CD247	ITK	9606.ENSP00000354782	9606.ENSP00000398655	0	0	0	0	0.791	0.148	0.500	0.507	0.950
CD247	HLA-DRA	9606.ENSP00000354782	9606.ENSP00000378786	0	0	0	0	0.154	0	0.900	0.536	0.957
CD247	HLA-A	9606.ENSP00000354782	9606.ENSP00000379873	0	0	0	0	0.081	0.800	0.500	0.650	0.963
CD247	SYK	9606.ENSP00000354782	9606.ENSP00000364898	0	0	0	0	0.133	0.235	0.900	0.966	0.997
CD247	CD8A	9606.ENSP00000354782	9606.ENSP00000386559	0	0	0	0	0.825	0	0.900	0.932	0.998
CD247	CD3G	9606.ENSP00000354782	9606.ENSP00000431445	0	0	0	0	0.847	0.900	0.900	0.998	0.999
CD274	CD4	9606.ENSP00000370989	9606.ENSP00000011653	0	0	0	0	0	0	0.500	0.883	0.938
CD274	LAG3	9606.ENSP00000370989	9606.ENSP00000203629	0	0	0	0	0.083	0	0	0.975	0.976
CD274	IL2	9606.ENSP00000370989	9606.ENSP00000226730	0	0	0	0	0.050	0	0	0.853	0.854
CD274	CD3D	9606.ENSP00000370989	9606.ENSP00000300692	0	0	0	0	0.060	0	0.500	0.620	0.806
CD274	HAVCR2	9606.ENSP00000370989	9606.ENSP00000312002	0	0	0	0	0.049	0	0	0.998	0.998
CD274	LILRB1	9606.ENSP00000370989	9606.ENSP00000315997	0	0	0	0	0.076	0.060	0	0.687	0.704
CD274	CD86	9606.ENSP00000370989	9606.ENSP00000332049	0	0	0	0.590	0.147	0	0	0.969	0.972
CD274	PDCD1	9606.ENSP00000370989	9606.ENSP00000335062	0	0	0	0	0.111	0.983	0.900	0.999	0.999
CD274	TNFRSF14	9606.ENSP00000370989	9606.ENSP00000347948	0	0	0	0	0.096	0	0	0.747	0.761
CD274	CD3E	9606.ENSP00000370989	9606.ENSP00000354566	0	0	0	0	0.067	0	0.500	0.623	0.808
CD274	FCGR1A	9606.ENSP00000370989	9606.ENSP00000358165	0	0	0	0	0.126	0.060	0	0.678	0.712
CD274	CD40	9606.ENSP00000370989	9606.ENSP00000361359	0	0	0	0	0.158	0	0	0.837	0.857
CD274	HLA-G	9606.ENSP00000370989	9606.ENSP00000366024	0	0	0	0	0.044	0	0	0.737	0.737
CD274	TLR7	9606.ENSP00000370989	9606.ENSP00000370034	0	0	0	0	0.117	0	0	0.731	0.752
CD274	HLA-DRA	9606.ENSP00000370989	9606.ENSP00000378786	0	0	0	0	0.080	0	0.500	0.430	0.715
CD274	ITGAM	9606.ENSP00000370989	9606.ENSP00000496959	0	0	0	0	0.067	0	0	0.724	0.731
CD274	IDO2	9606.ENSP00000370989	9606.ENSP00000443432	0	0	0	0	0.072	0	0	0.769	0.776
CD274	CD3G	9606.ENSP00000370989	9606.ENSP00000431445	0	0	0	0	0.065	0	0.500	0.577	0.785
CD274	LOC102723996	9606.ENSP00000370989	9606.ENSP00000485129	0	0	0	0.591	0.058	0	0	0.798	0.801
CD274	LGALS9	9606.ENSP00000370989	9606.ENSP00000378856	0	0	0	0	0.109	0	0	0.888	0.896
CD274	IDO1	9606.ENSP00000370989	9606.ENSP00000430950	0	0	0	0	0.222	0	0	0.880	0.902
CD274	IGHV3-43D	9606.ENSP00000370989	9606.ENSP00000481152	0	0	0	0	0.060	0.901	0	0	0.903
CD274	CD8A	9606.ENSP00000370989	9606.ENSP00000386559	0	0	0	0	0.076	0	0	0.937	0.939
CD274	PDCD1LG2	9606.ENSP00000370989	9606.ENSP00000380855	0	0	0	0.817	0.449	0.600	0.500	0.970	0.996
CD274	CTLA4	9606.ENSP00000370989	9606.ENSP00000497102	0	0	0	0	0.091	0.405	0	0.999	0.999
CD300A	TYROBP	9606.ENSP00000353259	9606.ENSP00000262629	0	0	0	0	0.486	0.048	0	0.521	0.745
CD300A	PRG2	9606.ENSP00000353259	9606.ENSP00000312134	0	0	0	0	0.083	0	0	0.748	0.759
CD300A	CD300C	9606.ENSP00000353259	9606.ENSP00000329507	0	0	0.055	0.946	0.352	0.292	0.400	0.087	0.719
CD300A	CD300LF	9606.ENSP00000353259	9606.ENSP00000462309	0	0	0	0.753	0.342	0.292	0.400	0.250	0.762
CD300A	CD300LB	9606.ENSP00000353259	9606.ENSP00000376397	0	0	0	0.803	0.329	0.510	0.400	0.202	0.821
CD300C	LILRB3	9606.ENSP00000329507	9606.ENSP00000245620	0	0	0	0	0.261	0	0	0.790	0.838
CD300C	LILRA1	9606.ENSP00000329507	9606.ENSP00000251372	0	0	0	0	0.419	0.067	0	0.789	0.875
CD300C	TYROBP	9606.ENSP00000329507	9606.ENSP00000262629	0	0	0	0	0.444	0.297	0	0.590	0.826
CD300C	FCER1G	9606.ENSP00000329507	9606.ENSP00000289902	0	0	0	0	0.320	0.512	0	0.543	0.835
CD300C	LILRA4	9606.ENSP00000329507	9606.ENSP00000291759	0	0	0	0	0.139	0.071	0	0.675	0.717
CD300C	LILRB1	9606.ENSP00000329507	9606.ENSP00000315997	0	0	0.207	0	0.164	0.071	0	0.921	0.945
CD300C	LILRA6	9606.ENSP00000329507	9606.ENSP00000379651	0	0	0	0	0.192	0	0	0.728	0.770
CD300C	LILRB5	9606.ENSP00000329507	9606.ENSP00000406478	0	0	0	0	0.099	0.071	0	0.750	0.773
CD300C	LILRB4	9606.ENSP00000329507	9606.ENSP00000375616	0	0	0	0	0.257	0.071	0	0.742	0.806
CD300C	CD300LF	9606.ENSP00000329507	9606.ENSP00000462309	0	0	0.122	0.750	0.439	0.292	0.400	0.253	0.815
CD300C	OPTN	9606.ENSP00000329507	9606.ENSP00000368022	0	0	0	0	0.044	0	0	0.871	0.871
CD300C	LILRB2	9606.ENSP00000329507	9606.ENSP00000375629	0	0	0.234	0	0.335	0.067	0	0.816	0.900
CD300C	CD300LB	9606.ENSP00000329507	9606.ENSP00000376397	0	0	0.072	0.815	0.768	0.510	0.400	0.185	0.939
CD300C	LILRA2	9606.ENSP00000329507	9606.ENSP00000375618	0	0	0	0	0.423	0.067	0	0.915	0.950
CD300C	SQSTM1	9606.ENSP00000329507	9606.ENSP00000374455	0	0	0	0	0.042	0	0	0.981	0.981
CD300E	TYROBP	9606.ENSP00000376395	9606.ENSP00000262629	0	0	0	0	0.153	0.048	0.700	0.655	0.905
CD300E	FCER1G	9606.ENSP00000376395	9606.ENSP00000289902	0	0	0	0	0.151	0.045	0	0.811	0.833
CD300E	TREML4	9606.ENSP00000376395	9606.ENSP00000342570	0	0	0	0.631	0.637	0	0.400	0.081	0.782
CD300E	CD300LB	9606.ENSP00000376395	9606.ENSP00000376397	0	0	0.068	0.847	0.177	0.510	0.400	0.130	0.768
CD300LB	TYROBP	9606.ENSP00000376397	9606.ENSP00000262629	0	0	0	0	0.409	0.048	0.700	0.907	0.982
CD300LB	FCER1G	9606.ENSP00000376397	9606.ENSP00000289902	0	0	0	0	0.256	0.045	0	0.721	0.784
CD300LB	CD300LD	9606.ENSP00000376397	9606.ENSP00000364501	0	0	0.068	0.922	0.109	0.510	0.400	0.088	0.737
CD300LB	CD300LF	9606.ENSP00000376397	9606.ENSP00000462309	0	0	0.055	0.907	0.433	0.510	0.400	0.319	0.873
CD300LD	FCER1G	9606.ENSP00000364501	9606.ENSP00000289902	0	0	0	0	0.105	0.294	0	0.579	0.711
CD300LD	CD300LF	9606.ENSP00000364501	9606.ENSP00000462309	0	0	0.054	0.938	0	0.292	0.400	0.462	0.755
CD300LF	TYROBP	9606.ENSP00000462309	9606.ENSP00000262629	0	0	0	0	0.812	0.048	0	0.598	0.922
CD3D	CD4	9606.ENSP00000300692	9606.ENSP00000011653	0	0	0	0	0.307	0.066	0.900	0.758	0.982
CD3D	CD79A	9606.ENSP00000300692	9606.ENSP00000221972	0	0	0	0	0.174	0	0	0.683	0.727
CD3D	IL2	9606.ENSP00000300692	9606.ENSP00000226730	0.046	0	0	0	0.105	0.078	0.186	0.629	0.719
CD3D	ZAP70	9606.ENSP00000300692	9606.ENSP00000264972	0	0	0	0	0.777	0.650	0.900	0.851	0.998
CD3D	FCER1G	9606.ENSP00000300692	9606.ENSP00000289902	0	0	0	0	0.145	0	0	0.687	0.720
CD3D	TRAT1	9606.ENSP00000300692	9606.ENSP00000295756	0	0	0	0	0.646	0	0.900	0.357	0.975
CD3D	HLA-DQA2	9606.ENSP00000300692	9606.ENSP00000364076	0	0	0	0	0.086	0	0.500	0.550	0.776
CD3D	HLA-DQB1	9606.ENSP00000300692	9606.ENSP00000364080	0	0	0	0	0.132	0.084	0.500	0.506	0.777
CD3D	HLA-DPA1	9606.ENSP00000300692	9606.ENSP00000393566	0	0	0	0	0.139	0	0.500	0.555	0.791
CD3D	LAT	9606.ENSP00000300692	9606.ENSP00000378845	0	0	0	0	0.475	0	0.500	0.314	0.804
CD3D	PDCD1	9606.ENSP00000300692	9606.ENSP00000335062	0	0	0	0	0.177	0	0.500	0.669	0.852
CD3D	FYN	9606.ENSP00000300692	9606.ENSP00000346671	0	0	0	0	0.142	0.650	0	0.554	0.854
CD3D	CD6	9606.ENSP00000300692	9606.ENSP00000323280	0	0	0	0	0.643	0.066	0	0.602	0.856
CD3D	HLA-DRA	9606.ENSP00000300692	9606.ENSP00000378786	0	0	0	0	0.137	0	0.500	0.712	0.864
CD3D	SH2D1A	9606.ENSP00000300692	9606.ENSP00000360181	0	0	0	0	0.791	0	0	0.605	0.914
CD3D	HLA-A	9606.ENSP00000300692	9606.ENSP00000379873	0	0	0	0	0.093	0.800	0.500	0.275	0.925
CD3D	SYK	9606.ENSP00000300692	9606.ENSP00000364898	0	0	0	0	0.202	0.108	0.900	0.262	0.940
CD3D	ITK	9606.ENSP00000300692	9606.ENSP00000398655	0	0	0	0	0.790	0.108	0.500	0.482	0.945
CD3D	CD8A	9606.ENSP00000300692	9606.ENSP00000386559	0	0	0	0	0.661	0.322	0.900	0.919	0.997
CD3D	CD3G	9606.ENSP00000300692	9606.ENSP00000431445	0	0	0.079	0.890	0.978	0.900	0.900	0.985	0.999
CD3D	CD3E	9606.ENSP00000300692	9606.ENSP00000354566	0	0	0	0	0.942	0.926	0.900	0.999	0.999
CD3E	CD4	9606.ENSP00000354566	9606.ENSP00000011653	0	0	0	0	0.454	0	0.900	0.864	0.991
CD3E	CSK	9606.ENSP00000354566	9606.ENSP00000220003	0	0	0	0	0.095	0.292	0.500	0.357	0.766
CD3E	ZAP70	9606.ENSP00000354566	9606.ENSP00000264972	0	0	0	0	0.727	0.797	0.900	0.761	0.998
CD3E	TRAT1	9606.ENSP00000354566	9606.ENSP00000295756	0	0	0	0	0.517	0	0.900	0.506	0.974
CD3E	HAVCR2	9606.ENSP00000354566	9606.ENSP00000312002	0	0	0	0	0.111	0	0	0.685	0.708
CD3E	CD6	9606.ENSP00000354566	9606.ENSP00000323280	0	0	0	0	0.684	0	0	0.543	0.849
CD3E	PDCD1	9606.ENSP00000354566	9606.ENSP00000335062	0	0	0	0	0.149	0	0.500	0.529	0.782
CD3E	FYN	9606.ENSP00000354566	9606.ENSP00000346671	0	0	0	0	0.188	0	0.900	0.636	0.967
CD3E	PTPN22	9606.ENSP00000354566	9606.ENSP00000352833	0	0	0	0	0.188	0.292	0.500	0.119	0.713
CD3E	HLA-DRB1	9606.ENSP00000354566	9606.ENSP00000353099	0	0	0	0	0.111	0	0.500	0.533	0.774
CD3E	SH2D1A	9606.ENSP00000354566	9606.ENSP00000360181	0	0	0	0	0.438	0	0	0.506	0.710
CD3E	PDCD1LG2	9606.ENSP00000354566	9606.ENSP00000380855	0	0	0	0	0.087	0	0.500	0.422	0.713
CD3E	HLA-DPA1	9606.ENSP00000354566	9606.ENSP00000393566	0	0	0	0	0.146	0	0.500	0.389	0.716
CD3E	IL2RA	9606.ENSP00000354566	9606.ENSP00000369293	0	0	0	0	0.163	0	0	0.677	0.718
CD3E	HLA-DQB1	9606.ENSP00000354566	9606.ENSP00000364080	0	0	0	0	0.100	0	0.500	0.506	0.758
CD3E	LAT	9606.ENSP00000354566	9606.ENSP00000378845	0	0	0	0	0.255	0.292	0.500	0.232	0.770
CD3E	HLA-DRA	9606.ENSP00000354566	9606.ENSP00000378786	0	0	0	0	0.166	0	0.500	0.506	0.776
CD3E	ITGAM	9606.ENSP00000354566	9606.ENSP00000496959	0	0	0	0	0.150	0	0	0.774	0.800
CD3E	ITK	9606.ENSP00000354566	9606.ENSP00000398655	0	0	0	0	0.705	0	0.500	0.595	0.935
CD3E	HLA-A	9606.ENSP00000354566	9606.ENSP00000379873	0	0	0	0	0.086	0.838	0.500	0.297	0.941
CD3E	CD8A	9606.ENSP00000354566	9606.ENSP00000386559	0	0	0	0	0.713	0	0.900	0.847	0.995
CD3E	SYK	9606.ENSP00000354566	9606.ENSP00000364898	0	0	0	0	0.230	0.966	0.900	0.278	0.997
CD3E	CD3G	9606.ENSP00000354566	9606.ENSP00000431445	0	0	0.284	0	0.953	0.948	0.900	0.999	0.999
CD3G	CD4	9606.ENSP00000431445	9606.ENSP00000011653	0	0	0	0	0.137	0	0.900	0.850	0.985
CD3G	ZAP70	9606.ENSP00000431445	9606.ENSP00000264972	0	0	0	0	0.474	0.625	0.900	0.759	0.994
CD3G	TRAT1	9606.ENSP00000431445	9606.ENSP00000295756	0	0	0	0	0.585	0	0.900	0.356	0.970
CD3G	CD6	9606.ENSP00000431445	9606.ENSP00000323280	0	0	0	0	0.660	0	0	0.420	0.795
CD3G	PDCD1	9606.ENSP00000431445	9606.ENSP00000335062	0	0	0	0	0.153	0	0.500	0.589	0.810
CD3G	FYN	9606.ENSP00000431445	9606.ENSP00000346671	0	0	0	0	0.153	0.292	0.400	0.398	0.754
CD3G	FCGR1A	9606.ENSP00000431445	9606.ENSP00000358165	0	0	0	0	0.056	0	0.800	0.209	0.837
CD3G	SH2D1A	9606.ENSP00000431445	9606.ENSP00000360181	0	0	0	0	0.647	0	0	0.374	0.769
CD3G	HLA-DQA2	9606.ENSP00000431445	9606.ENSP00000364076	0	0	0	0	0.063	0	0.500	0.493	0.741
CD3G	HLA-DQB1	9606.ENSP00000431445	9606.ENSP00000364080	0	0	0	0	0.121	0	0.500	0.483	0.753
CD3G	SYK	9606.ENSP00000431445	9606.ENSP00000364898	0	0	0	0	0.088	0.800	0.900	0.481	0.989
CD3G	HLA-DRA	9606.ENSP00000431445	9606.ENSP00000378786	0	0	0	0	0.124	0	0.500	0.397	0.713
CD3G	LAT	9606.ENSP00000431445	9606.ENSP00000378845	0	0	0	0	0.409	0.095	0.500	0.373	0.809
CD3G	HLA-A	9606.ENSP00000431445	9606.ENSP00000379873	0	0	0	0	0.056	0.800	0.500	0.249	0.919
CD3G	CD8A	9606.ENSP00000431445	9606.ENSP00000386559	0	0	0	0	0.643	0	0.900	0.739	0.989
CD3G	HLA-DPA1	9606.ENSP00000431445	9606.ENSP00000393566	0	0	0	0	0.108	0	0.500	0.508	0.761
CD3G	ITK	9606.ENSP00000431445	9606.ENSP00000398655	0	0	0	0	0.681	0	0.500	0.473	0.908
CD4	LYN	9606.ENSP00000011653	9606.ENSP00000428924	0	0	0	0	0.095	0.081	0	0.668	0.700
CD4	LOC102723407	9606.ENSP00000011653	9606.ENSP00000478289	0	0	0	0	0.067	0.126	0	0.663	0.701
CD4	TNFSF13B	9606.ENSP00000011653	9606.ENSP00000365048	0	0	0	0	0.084	0	0	0.701	0.714
CD4	LOC102723996	9606.ENSP00000011653	9606.ENSP00000485129	0	0	0	0	0.068	0	0	0.709	0.717
CD4	LILRB2	9606.ENSP00000011653	9606.ENSP00000375629	0	0	0	0	0.195	0	0	0.667	0.720
CD4	EOMES	9606.ENSP00000011653	9606.ENSP00000388620	0	0	0	0	0.049	0	0	0.720	0.722
CD4	LGALS9	9606.ENSP00000011653	9606.ENSP00000378856	0	0	0	0	0.183	0	0	0.681	0.728
CD4	SRC	9606.ENSP00000011653	9606.ENSP00000362680	0	0	0	0	0.065	0.081	0	0.709	0.728
CD4	PTK2B	9606.ENSP00000011653	9606.ENSP00000380638	0	0	0	0	0.115	0.602	0	0.311	0.736
CD4	LAT	9606.ENSP00000011653	9606.ENSP00000378845	0	0	0	0	0.072	0	0.500	0.479	0.737
CD4	JAK3	9606.ENSP00000011653	9606.ENSP00000432511	0	0	0	0	0.097	0.081	0	0.710	0.738
CD4	CD46	9606.ENSP00000011653	9606.ENSP00000313875	0	0	0	0	0	0.091	0	0.725	0.739
CD4	LILRB1	9606.ENSP00000011653	9606.ENSP00000315997	0	0	0	0	0.105	0.126	0	0.698	0.743
CD4	CD79A	9606.ENSP00000011653	9606.ENSP00000221972	0	0	0	0	0.174	0.179	0	0.666	0.753
CD4	TLR8	9606.ENSP00000011653	9606.ENSP00000312082	0	0	0	0	0.238	0.097	0	0.671	0.754
CD4	KLRG1	9606.ENSP00000011653	9606.ENSP00000266551	0	0	0	0	0.066	0.091	0	0.735	0.755
CD4	CSF1R	9606.ENSP00000011653	9606.ENSP00000286301	0	0	0	0	0.293	0.045	0	0.666	0.755
CD4	CLEC7A	9606.ENSP00000011653	9606.ENSP00000302569	0	0	0	0	0.098	0.091	0	0.753	0.779
CD4	KLRK1	9606.ENSP00000011653	9606.ENSP00000240618	0	0	0	0	0.042	0.091	0	0.768	0.780
CD4	IL4R	9606.ENSP00000011653	9606.ENSP00000379111	0	0	0	0	0.079	0.081	0	0.762	0.780
CD4	HLA-E	9606.ENSP00000011653	9606.ENSP00000365817	0	0	0	0	0.109	0.101	0	0.754	0.785
CD4	TLR3	9606.ENSP00000011653	9606.ENSP00000296795	0	0	0	0	0.087	0.097	0	0.761	0.786
CD4	SLAMF1	9606.ENSP00000011653	9606.ENSP00000438406	0	0	0	0	0.151	0	0	0.764	0.791
CD4	PTPN22	9606.ENSP00000011653	9606.ENSP00000352833	0	0	0	0	0.174	0.069	0.500	0.527	0.793
CD4	CR2	9606.ENSP00000011653	9606.ENSP00000356024	0	0	0	0	0.043	0.091	0	0.787	0.798
CD4	IL23R	9606.ENSP00000011653	9606.ENSP00000321345	0	0	0	0	0	0	0	0.804	0.804
CD4	CD6	9606.ENSP00000011653	9606.ENSP00000323280	0	0	0	0	0.294	0	0	0.744	0.811
CD4	TLR2	9606.ENSP00000011653	9606.ENSP00000260010	0	0	0	0	0.141	0.097	0	0.779	0.814
CD4	IDO2	9606.ENSP00000011653	9606.ENSP00000443432	0	0	0	0	0.058	0	0	0.823	0.826
CD4	HAVCR2	9606.ENSP00000011653	9606.ENSP00000312002	0	0	0	0	0.087	0	0	0.825	0.833
CD4	TLR7	9606.ENSP00000011653	9606.ENSP00000370034	0	0	0	0	0.150	0.097	0	0.802	0.834
CD4	FCGR2A	9606.ENSP00000011653	9606.ENSP00000271450	0	0	0	0	0.121	0.091	0	0.813	0.837
CD4	MYD88	9606.ENSP00000011653	9606.ENSP00000498321	0	0	0	0	0.067	0.069	0	0.842	0.850
CD4	HLA-C	9606.ENSP00000011653	9606.ENSP00000365402	0	0	0	0	0.084	0.101	0	0.841	0.857
CD4	HLA-A	9606.ENSP00000011653	9606.ENSP00000379873	0	0	0	0	0.082	0.101	0	0.849	0.864
CD4	TLR9	9606.ENSP00000011653	9606.ENSP00000353874	0	0	0	0	0.074	0.097	0	0.855	0.868
CD4	IDO1	9606.ENSP00000011653	9606.ENSP00000430950	0	0	0	0	0.082	0	0	0.870	0.875
CD4	ITK	9606.ENSP00000011653	9606.ENSP00000398655	0	0	0	0	0.272	0.081	0.500	0.704	0.887
CD4	HLA-B	9606.ENSP00000011653	9606.ENSP00000399168	0	0	0	0	0.104	0.101	0	0.875	0.890
CD4	GATA3	9606.ENSP00000011653	9606.ENSP00000368632	0	0	0	0	0.047	0.058	0	0.896	0.899
CD4	CD7	9606.ENSP00000011653	9606.ENSP00000312027	0	0	0	0	0.137	0	0	0.890	0.901
CD4	TLR4	9606.ENSP00000011653	9606.ENSP00000363089	0	0	0	0	0.128	0.097	0	0.886	0.902
CD4	FCGR1A	9606.ENSP00000011653	9606.ENSP00000358165	0	0	0	0	0.138	0.126	0	0.881	0.902
CD4	LAG3	9606.ENSP00000011653	9606.ENSP00000203629	0	0	0.228	0	0.064	0	0	0.890	0.914
CD4	CD8B2	9606.ENSP00000011653	9606.ENSP00000496416	0	0	0	0	0.127	0	0.900	0.173	0.921
CD4	CD40	9606.ENSP00000011653	9606.ENSP00000361359	0	0	0	0	0.059	0	0	0.923	0.924
CD4	HLA-DOA	9606.ENSP00000011653	9606.ENSP00000229829	0	0	0	0	0.171	0	0.900	0.271	0.934
CD4	IL2RA	9606.ENSP00000011653	9606.ENSP00000369293	0	0	0	0	0.116	0.125	0	0.924	0.936
CD4	HLA-DOB	9606.ENSP00000011653	9606.ENSP00000496848	0	0	0	0	0.148	0.087	0.900	0.296	0.938
CD4	HLA-DMB	9606.ENSP00000011653	9606.ENSP00000398890	0	0	0	0	0.168	0.087	0.900	0.316	0.941
CD4	TRAT1	9606.ENSP00000011653	9606.ENSP00000295756	0	0	0	0	0.146	0	0.900	0.380	0.942
CD4	ITGAM	9606.ENSP00000011653	9606.ENSP00000496959	0	0	0	0	0.218	0.067	0	0.929	0.943
CD4	PDCD1LG2	9606.ENSP00000011653	9606.ENSP00000380855	0	0	0	0	0.042	0	0.500	0.896	0.945
CD4	HLA-DRB5	9606.ENSP00000011653	9606.ENSP00000364114	0	0	0	0	0.117	0.087	0.900	0.405	0.945
CD4	HLA-DQB1	9606.ENSP00000011653	9606.ENSP00000364080	0	0	0	0	0.170	0.087	0.500	0.887	0.951
CD4	CTLA4	9606.ENSP00000011653	9606.ENSP00000497102	0	0	0	0	0.137	0.091	0	0.948	0.955
CD4	CD86	9606.ENSP00000011653	9606.ENSP00000332049	0	0	0	0	0.180	0	0	0.951	0.958
CD4	PDCD1	9606.ENSP00000011653	9606.ENSP00000335062	0	0	0	0	0.086	0	0.500	0.920	0.960
CD4	HLA-DPB1	9606.ENSP00000011653	9606.ENSP00000408146	0	0	0	0	0.204	0.087	0.900	0.518	0.960
CD4	HLA-DMA	9606.ENSP00000011653	9606.ENSP00000363976	0	0	0	0	0.138	0	0.900	0.582	0.960
CD4	HLA-DQA2	9606.ENSP00000011653	9606.ENSP00000364076	0	0	0	0	0.074	0	0.900	0.621	0.961
CD4	IL2	9606.ENSP00000011653	9606.ENSP00000226730	0	0	0	0	0.052	0	0	0.975	0.975
CD4	HLA-DPA1	9606.ENSP00000011653	9606.ENSP00000393566	0	0	0	0	0.155	0	0.900	0.758	0.977
CD4	FYN	9606.ENSP00000011653	9606.ENSP00000346671	0	0	0	0	0.089	0.081	0	0.978	0.980
CD4	SYK	9606.ENSP00000011653	9606.ENSP00000364898	0	0	0	0	0.156	0.321	0.900	0.709	0.981
CD4	CD81	9606.ENSP00000011653	9606.ENSP00000263645	0	0	0	0	0.042	0.345	0	0.974	0.982
CD4	HLA-DRB1	9606.ENSP00000011653	9606.ENSP00000353099	0	0	0	0	0.188	0.904	0.500	0.879	0.994
CD4	ZAP70	9606.ENSP00000011653	9606.ENSP00000264972	0	0	0	0	0.240	0.321	0.900	0.915	0.995
CD4	HLA-DRA	9606.ENSP00000011653	9606.ENSP00000378786	0	0	0	0	0.151	0.904	0.900	0.708	0.997
CD4	CD8A	9606.ENSP00000011653	9606.ENSP00000386559	0	0	0	0	0.130	0.098	0.900	0.993	0.999
CD40	TNFRSF17	9606.ENSP00000361359	9606.ENSP00000053243	0	0	0	0	0.066	0	0	0.808	0.813
CD40	IL2	9606.ENSP00000361359	9606.ENSP00000226730	0	0	0	0	0.056	0	0	0.844	0.847
